,Lemma,Decon,encode,,,,,,
88,দেরগুলোরটাতেই,দের+গুলো+র+টা+তে+ই,g2.p1.g1.s1.c3.e1,,,,,,
89,দেরগুলোরটাতেও,দের+গুলো+র+টা+তে+ও,g2.p1.g1.s1.c3.e2,,,,,,
90,দেরগুলোরটায়,দের+গুলো+র+টা+য়,g2.p1.g1.s1.c2,,,,,,
91,দেরগুলোরটায়ই,দের+গুলো+র+টা+য়+ই,g2.p1.g1.s1.c2.e1,,,,,,
92,দেরগুলোরটায়ও,দের+গুলো+র+টা+য়+ও,g2.p1.g1.s1.c2.e2,,,,,,
93,দেরগুলোরটি,দের+গুলো+র+টি,g2.p1.g1.s1,,,,,,
94,দেরগুলোরটিই,দের+গুলো+র+টি+ই,g2.p1.g1.s1.e1,,,,,,
95,দেরগুলোরটিও,দের+গুলো+র+টি+ও,g2.p1.g1.s1.e2,,,,,,
96,দেরগুলোরটিতে,দের+গুলো+র+টি+তে,g2.p1.g1.s1.c3,,,,,,
97,দেরগুলোরটিতেই,দের+গুলো+র+টি+তে+ই,g2.p1.g1.s1.c3.e1,,,,,,
98,দেরগুলোরটিতেও,দের+গুলো+র+টি+তে+ও,g2.p1.g1.s1.c3.e2,,,,,,
99,দেরগুলোসহ,দের+গুলো+সহ,g2.p1.i4,,,,,,
100,দেরটা,দের+টা,g2.s1,,,,,,
101,দেরটাই,দের+টা+ই,g2.s1.e1,,,,,,
102,দেরটাও,দের+টা+ও,g2.s1.e2,,,,,,
103,দেরটাকে,দের+টা+কে,g2.s1.o1,,,,,,
104,দেরটাকেই,দের+টা+কে+ই,g2.s1.o1.e1,,,,,,
105,দেরটাকেও,দের+টা+কে+ও,g2.s1.o1.e2,,,,,,
106,দেরটাকেসহ,দের+টা+কে+সহ,g2.s1.o1.i4,,,,,,
107,দেরটার,দের+টা+র,g2.s1.g1,,,,,,
108,দেরটারই,দের+টা+র+ই,g2.s1.g1.e1,,,,,,
109,দেরটারও,দের+টা+র+ও,g2.s1.g1.e2,,,,,,
110,দেরটি,দের+টি,g2.s1,,,,,,
111,দেরটিই,দের+টি+ই,g2.s1.e1,,,,,,
112,দেরটিও,দের+টি+ও,g2.s1.e2,,,,,,
113,দেরটিকে,দের+টি+কে,g2.s1.o1,,,,,,
114,দেরটিকেই,দের+টি+কে+ই,g2.s1.o1.e1,,,,,,
115,দেরটিকেও,দের+টি+কে+ও,g2.s1.o1.e2,,,,,,
116,দেরটিকেসহ,দের+টি+কে+সহ,g2.s1.o1.i4,,,,,,
117,দেরটির,দের+টি+র,g2.s1.g1,,,,,,
118,দেরটিরই,দের+টি+র+ই,g2.s1.g1.e1,,,,,,
119,দেরটিরও,দের+টি+র+ও,g2.s1.g1.e2,,,,,,
120,রাই,রা+ই,p2.e1,,,,,,
121,রাও,রা+ও,p2.e2,,,,,,
122,সহ,সহ,i2, ,,,,,
123,ে,ে,c1,te,,,,,
124,েই,ে+ই,c1.e1,,,,,,
125,েও,ে+ও,c1.e2,,,,,,
126,ের,ের,g1,,,,,,
127,েরই,ের+ই,g1.e1,,,,,,
128,েরও,ের+ও,g1.e2,,,,,,
129,েরটা,ের+টা,g1.s1,,,,,,
130,েরটাই,ের+টা+ই,g1.s1.e1,,,,,,
131,েরটাও,ের+টা+ও,g1.s1.e2,,,,,,
132,েরটাকে,ের+টা+কে,g1.s1.o1,,,,,,
133,েরটাকেই,ের+টা+কে+ই,g1.s1.o1.e1,,,,,,
134,েরটাকেও,ের+টা+কে+ও,g1.s1.o1.e2,,,,,,
135,েরটাতে,ের+টা+তে,g1.s1.c3,,,,,,
136,েরটাতেই,ের+টা+তে+ই,g1.s1.c3.e1,,,,,,
137,েরটাতেও,ের+টা+তে+ও,g1.s1.c3.e2,,,,,,
138,েরটায়,ের+টা+য়,g1.s1.c2,,,,,,
139,েরটায়ই,ের+টা+য়+ই,g1.s1.c2.e1,,,,,,
140,েরটায়ও,ের+টা+য়+ও,g1.s1.c2.e2,,,,,,
141,েরটার,ের+টা+র,g1.s1.g1,,,,,,
142,েরটারই,ের+টা+র+ই,g1.s1.g1.e1,,,,,,
143,েরটারও,ের+টা+র+ও,g1.s1.g1.e2,,,,,,
144,েরটি,ের+টি,g1.s1,,,,,,
145,েরটিই,ের+টি+ই,g1.s1.e1,,েরটায়ও,ের+টা+য়+ও,g1.s1.c2.e2,,
146,েরটিও,ের+টি+ও,g1.s1.e2,,দেরটিকে,দের+টি+কে,g2.s1.o1,,
147,েরটিকে,ের+টি+কে,g1.s1.o1,,,,,,
148,েরটিকেই,ের+টি+কে+ই,g1.s1.o1.e1,,,,,,
149,েরটিকেও,ের+টি+কে+ও,g1.s1.o1.e2,,,,,,
150,েরটিতে,ের+টি+তে,g1.s1.c3,,,,,,
151,েরটিতেই,ের+টি+তে+ই,g1.s1.c3.e1,,,,,,
152,েরটিতেও,ের+টি+তে+ও,g1.s1.c3.e2,,,,,,
153,েরটির,ের+টি+র,g1.s1.g1,,,,,,
154,েরটিরই,ের+টি+র+ই,g1.s1.g1.e1,,,,,,
155,েরটিরও,ের+টি+র+ও,g1.s1.g1.e2,,,,,,
156,েরা,েরা,p2,,,,,,
